subject,impostor_index,count,rank1_to_not1,not1_to_rank1,rank1_kept,not1_kept,target_indices
5,308,1,0,0,1,0,740
5,317,1,0,0,1,0,365
5,327,1,0,0,0,1,784
5,338,1,0,0,1,0,127
5,354,1,0,0,0,1,878
5,358,1,0,0,1,0,677
5,371,1,0,0,0,1,260
5,377,1,0,0,1,0,258
5,383,1,0,0,0,1,835
5,394,1,0,0,1,0,577
5,395,1,0,0,1,0,185
5,410,1,0,0,1,0,421
5,425,1,0,0,0,1,352
5,430,1,0,0,0,1,974
5,437,1,0,0,0,1,359
5,440,1,0,0,0,1,792
5,446,1,0,0,0,1,768
5,455,1,0,0,0,1,323
5,457,1,0,0,0,1,402
5,461,1,0,0,1,0,765
5,470,1,0,0,0,1,213
5,478,1,0,0,0,1,441
5,485,1,0,0,1,0,904
5,491,1,0,0,1,0,943
5,509,1,0,0,0,1,879
5,518,1,0,0,1,0,642
5,528,1,0,1,0,0,201
5,530,1,0,0,0,1,550
5,541,1,0,1,0,0,482
5,544,1,0,0,1,0,486
5,545,1,0,0,1,0,602
5,547,1,0,0,0,1,145
5,549,1,0,0,0,1,120
5,556,1,0,1,0,0,321
5,567,1,0,0,0,1,476
5,571,1,0,0,1,0,396
5,572,1,0,0,1,0,386
5,584,1,0,0,0,1,619
5,601,1,0,0,0,1,930
5,610,1,0,0,1,0,569
5,616,1,0,0,1,0,159
5,621,1,0,0,1,0,523
5,624,1,0,0,1,0,769
5,629,1,0,0,0,1,874
5,634,1,0,0,1,0,955
5,637,1,0,1,0,0,803
5,642,1,0,0,0,1,211
5,645,1,0,0,0,1,369
5,646,1,0,0,1,0,390
5,647,1,0,0,0,1,689
5,648,1,0,0,0,1,545
5,653,1,0,0,1,0,156
5,663,1,0,0,0,1,438
5,679,1,0,0,1,0,609
5,687,1,0,1,0,0,885
5,693,1,0,0,0,1,83
5,694,1,0,0,1,0,575
5,700,1,0,0,1,0,135
5,704,1,0,0,0,1,268
5,717,1,0,1,0,0,598
5,729,1,0,0,0,1,841
5,740,1,0,1,0,0,308
5,744,1,0,0,0,1,80
5,748,1,0,0,1,0,530
5,750,1,0,0,1,0,699
5,756,1,0,0,1,0,559
5,769,1,0,1,0,0,444
5,772,1,0,0,1,0,939
5,774,1,0,0,1,0,183
5,789,1,0,0,0,1,104
5,791,1,0,0,1,0,590
5,796,1,0,0,1,0,506
5,800,1,0,0,1,0,804
5,804,1,0,0,1,0,406
5,809,1,0,0,1,0,912
5,815,1,0,0,0,1,411
5,842,1,0,1,0,0,886
5,844,1,0,0,0,1,267
5,846,1,0,0,1,0,196
5,848,1,0,0,0,1,309
5,853,1,0,0,0,1,30
5,857,1,0,0,0,1,669
5,864,1,0,0,1,0,44
5,867,1,0,0,0,1,251
5,871,1,0,0,1,0,772
5,873,1,0,0,0,1,620
5,889,1,0,1,0,0,370
5,891,1,0,0,0,1,935
5,905,1,0,0,1,0,674
5,911,1,0,0,0,1,566
5,912,1,0,1,0,0,226
5,921,1,0,0,1,0,224
5,923,1,0,0,1,0,454
5,931,1,0,0,0,1,117
5,940,1,0,0,1,0,32
5,941,1,0,0,0,1,325
5,982,1,0,0,1,0,580
5,985,1,0,0,1,0,319
5,993,1,0,0,1,0,661
5,996,1,0,0,0,1,14
