subject,model_name,eval_index,image_id,positive_similarity,hardest_impostor_similarity,hardest_impostor_index,margin,full_pool_rank,sampled_top1_success_rate,sampled_rank_mean,sampled_rank_median,delta_positive_similarity,delta_hardest_impostor_similarity,delta_margin,delta_full_pool_rank,delta_sampled_top1_success_rate,rank1_to_not1,not1_to_rank1
7,cycle44_subj07_margin_low_1sess_150ep,455,34089,0.04936374,0.053723447,516,-0.0043597072,4.0,0.4,1.9,2.0,-0.0031297207,-0.0006250106,-0.00250471,1.0,-0.19999999999999996,0,0
7,cycle44_subj07_margin_low_1sess_150ep,456,34126,0.05489018,0.05564578,577,-0.00075560063,2.0,0.4444444444444444,1.5555555555555556,2.0,-0.0023544282,-0.004750751,0.0023963228,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,457,34186,0.025418203,0.037959527,546,-0.012541324,17.0,0.0,5.454545454545454,6.0,-0.009060655,-0.00036679208,-0.008693863,11.0,-0.18181818181818182,0,0
7,cycle44_subj07_margin_low_1sess_150ep,458,34238,0.042963818,0.045449298,740,-0.0024854802,4.0,0.5555555555555556,1.5555555555555556,1.0,-0.0027379617,-0.005175259,0.0024372973,-2.0,0.22222222222222227,0,0
7,cycle44_subj07_margin_low_1sess_150ep,459,34418,0.012948801,0.05296269,321,-0.04001389,626.0,0.0,188.375,191.5,-0.0006477954,-0.0070705414,0.006422747,2.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,460,34603,0.0581693,0.05868874,710,-0.0005194396,2.0,0.42857142857142855,1.5714285714285714,2.0,-0.0017812289,-0.0041031353,0.0023219064,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,461,34751,0.067795694,0.050853837,79,0.016941857,1.0,1.0,1.0,1.0,0.0040353835,-0.00064246356,0.004677847,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,462,34829,0.042070143,0.0531057,931,-0.011035558,11.0,0.0,3.5,3.0,-0.0074863844,-0.0045650303,-0.002921354,5.0,-0.1,0,0
7,cycle44_subj07_margin_low_1sess_150ep,463,34845,0.047135722,0.05676325,12,-0.0096275285,7.0,0.1111111111111111,2.6666666666666665,3.0,-0.0017890856,0.0005972609,-0.0023863465,-2.0,0.1111111111111111,0,0
7,cycle44_subj07_margin_low_1sess_150ep,464,34850,0.044672523,0.053617455,372,-0.008944932,2.0,0.6666666666666666,1.3333333333333333,1.0,-0.005188953,0.005080562,-0.010269515,1.0,-0.33333333333333337,1,0
7,cycle44_subj07_margin_low_1sess_150ep,465,34874,0.05633807,0.05658885,967,-0.0002507791,2.0,0.5714285714285714,1.4285714285714286,1.0,-0.004102327,0.005487982,-0.009590309,1.0,-0.4285714285714286,1,0
7,cycle44_subj07_margin_low_1sess_150ep,466,34975,0.025507309,0.043990687,302,-0.018483378,70.0,0.0,21.625,21.5,-0.0045675486,-0.006880101,0.0023125522,1.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,467,35094,0.052110318,0.05522975,178,-0.0031194314,3.0,0.6666666666666666,1.3333333333333333,1.0,-0.0015429668,-0.0022874437,0.0007444769,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,468,35129,0.044139776,0.05230155,872,-0.008161772,18.0,0.0,6.7,7.0,-0.01015858,-0.00210654,-0.00805204,16.0,-0.5,0,0
