subject,model_name,eval_index,image_id,positive_similarity,hardest_impostor_similarity,hardest_impostor_index,margin,full_pool_rank,sampled_top1_success_rate,sampled_rank_mean,sampled_rank_median
5,cycle44_subj05_margin_low_1sess_150ep,350,26598,0.054171536,0.04083663,463,0.013334908,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,351,26720,0.04749415,0.050962314,78,-0.0034681633,2.0,0.6363636363636364,1.3636363636363635,1.0
5,cycle44_subj05_margin_low_1sess_150ep,352,26780,0.041977312,0.04414063,425,-0.002163317,3.0,0.7142857142857143,1.2857142857142858,1.0
5,cycle44_subj05_margin_low_1sess_150ep,353,26895,0.058061868,0.050159406,761,0.007902462,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,354,26909,0.024028212,0.044105683,697,-0.02007747,25.0,0.0,8.3,8.5
5,cycle44_subj05_margin_low_1sess_150ep,355,26971,0.030482393,0.043744653,456,-0.013262261,34.0,0.0,9.153846153846153,9.0
5,cycle44_subj05_margin_low_1sess_150ep,356,26990,0.052772775,0.04898259,153,0.0037901849,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,357,27242,0.04604477,0.05067166,777,-0.004626889,4.0,0.1111111111111111,2.0,2.0
5,cycle44_subj05_margin_low_1sess_150ep,358,27275,0.048908953,0.04230834,125,0.006600611,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,359,27287,0.035049472,0.040225323,437,-0.0051758513,4.0,0.3333333333333333,1.6666666666666667,2.0
5,cycle44_subj05_margin_low_1sess_150ep,360,27326,0.047079235,0.044014804,162,0.0030644313,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,361,27435,0.0640707,0.046252567,765,0.017818134,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,362,27568,0.03446294,0.039615113,674,-0.0051521733,10.0,0.0625,3.75,3.5
5,cycle44_subj05_margin_low_1sess_150ep,363,27580,0.024912233,0.042782456,94,-0.017870223,54.0,0.0,16.444444444444443,17.0
5,cycle44_subj05_margin_low_1sess_150ep,364,27830,0.046865646,0.048842948,227,-0.0019773021,2.0,0.625,1.375,1.0
5,cycle44_subj05_margin_low_1sess_150ep,365,27878,0.053626027,0.043329168,317,0.010296859,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,366,27972,0.02323581,0.04170189,162,-0.01846608,25.0,0.0,7.5,7.5
5,cycle44_subj05_margin_low_1sess_150ep,367,28024,0.047315255,0.048870765,175,-0.0015555099,2.0,0.6666666666666666,1.3333333333333333,1.0
5,cycle44_subj05_margin_low_1sess_150ep,368,28068,0.05778489,0.056577608,652,0.0012072809,1.0,1.0,1.0,1.0
