subject,eval_index,nsd_image_id,prior0_image_rank,prior_low_image_rank,image_rank_delta_prior_low_minus_prior0,prior0_brain_rank,prior_low_brain_rank,brain_rank_delta_prior_low_minus_prior0,image_score_delta_prior_low_minus_prior0,brain_score_delta_prior_low_minus_prior0,flat_norm_delta_prior_low_minus_prior0,mean_token_norm_delta_prior_low_minus_prior0,brain_margin_hardest_delta_prior_low_minus_prior0,image_margin_hardest_delta_prior_low_minus_prior0,brain_margin_top5_delta_prior_low_minus_prior0,image_margin_top5_delta_prior_low_minus_prior0,blurry_pixcorr_prior0,blurry_pixcorr_prior_low,blurry_pixcorr_delta_prior_low_minus_prior0,recons_pixcorr_prior0,recons_pixcorr_prior_low,recons_pixcorr_delta_prior_low_minus_prior0,enhanced_pixcorr_prior0,enhanced_pixcorr_prior_low,enhanced_pixcorr_delta_prior_low_minus_prior0,enhanced_evalmix_pixcorr_prior0,enhanced_evalmix_pixcorr_prior_low,enhanced_evalmix_pixcorr_delta_prior_low_minus_prior0
7,571,42946,5.0,94.0,89.0,26.0,131.0,105.0,0.024764981,0.024764981,-18.959747,0.261446,0.0009720251,-0.016615577,6.814301e-05,-0.017105449,0.6186087,0.6396726,0.021063864,0.41685155,0.37488294,-0.041968614,0.42505735,0.3859226,-0.03913474,0.4687938,0.42629296,-0.042500854
7,572,42980,1.0,154.0,153.0,1.0,1.0,0.0,0.004085742,0.004085742,-68.34119,-2.494545,0.002006758,-0.039835915,-0.0009551309,-0.04034715,0.43890926,0.4189691,-0.019940168,0.45351988,0.46259782,0.009077936,0.46843016,0.46605718,-0.0023729801,0.4828713,0.480544,-0.0023272932
7,573,43107,22.0,169.0,147.0,1.0,13.0,12.0,0.018981308,0.018981308,20.784485,2.1901588,-0.007601049,-0.018016271,-0.008821849,-0.017441764,-0.053710368,0.016579974,0.07029034,0.10586177,0.159495,0.053633228,0.15104881,0.17254348,0.021494672,0.1415122,0.17315674,0.031644538
7,574,43156,12.0,469.0,457.0,1.0,2.0,1.0,0.0063750334,0.0063750334,-35.584045,-1.3826408,-0.004501339,-0.02733159,-0.004445847,-0.027484674,-0.19041824,-0.19963321,-0.0092149675,-0.10660077,-0.15403657,-0.047435798,-0.15641978,-0.16514932,-0.008729532,-0.1748516,-0.18455233,-0.00970073
7,575,43157,1.0,61.0,60.0,1.0,1.0,0.0,0.013360765,0.013360765,-52.102264,-1.9154854,6.299466e-06,-0.034356397,0.00097231194,-0.030541047,0.64500195,0.6235492,-0.021452725,0.41844657,0.3588343,-0.059612274,0.42299226,0.36059415,-0.062398106,0.47248185,0.4215283,-0.050953537
7,576,43159,1.0,6.0,5.0,3.0,3.0,0.0,0.030842964,0.030842964,-36.376434,-1.2433777,0.00068261474,-0.015299819,0.00084773824,-0.010535892,0.17419349,0.058823764,-0.11536972,-0.06432831,-0.027669435,0.036658876,-0.04370519,-0.013243113,0.030462079,-0.01640005,-0.004890571,0.01150948
7,577,43164,1.0,23.0,22.0,1.0,1.0,0.0,0.006981276,0.006981276,-31.204407,-0.8471527,-0.005725071,-0.036045097,-0.009621024,-0.036726538,0.28844276,0.26366743,-0.024775326,0.12129119,0.18485285,0.06356166,0.11848764,0.18561244,0.0671248,0.14259283,0.20745564,0.0648628
7,578,43224,2.0,13.0,11.0,1.0,24.0,23.0,0.02795732,0.02795732,-7.5591125,0.71993256,-0.006989058,-0.018094253,-0.00797727,-0.011984803,0.22191478,0.26351148,0.041596696,-0.10953853,-0.19828276,-0.08874423,-0.12773348,-0.21282245,-0.08508897,-0.09614956,-0.17938456,-0.083235
7,579,43250,12.0,535.0,523.0,4.0,13.0,9.0,0.0072941184,0.0072941184,13.429382,1.5302982,-0.0062973537,-0.03135072,-0.0036807582,-0.03069717,0.1617465,0.13241197,-0.02933453,0.088515885,0.23369953,0.14518365,0.12698677,0.27557093,0.14858416,0.13953233,0.28105223,0.1415199
7,580,43288,1.0,156.0,155.0,1.0,1.0,0.0,0.003031101,0.003031101,-27.519745,-0.6381531,-0.004995797,-0.038225595,-0.0074328072,-0.034820147,0.25093472,0.15040389,-0.10053083,0.032732014,0.05562022,0.022888206,0.039478328,0.06975912,0.030280795,0.069920726,0.08533064,0.015409917
