subject,model_name,eval_index,image_id,positive_similarity,hardest_impostor_similarity,hardest_impostor_index,margin,full_pool_rank,sampled_top1_success_rate,sampled_rank_mean,sampled_rank_median,delta_positive_similarity,delta_hardest_impostor_similarity,delta_margin,delta_full_pool_rank,delta_sampled_top1_success_rate,rank1_to_not1,not1_to_rank1,image_full_pool_rank_margin0,image_full_pool_rank,delta_image_full_pool_rank,eval_clip_nearest_neighbor_cosine,eval_clip_top1_top2_gap,eval_clip_density_top10,train_clip_diag_mahalanobis,train_clip_mean_cosine,train_clip_mean_abs_z,train_clip_max_abs_z,global_reliability_mean,early_reliability_mean,higher_reliability_mean,low_reliability_mean,global_reliability_x_train_mahalanobis,low_reliability_x_train_mahalanobis,low_reliability_x_eval_density_top10,heldout_or_newtest_labels_used_for_reliability,heldout_or_newtest_labels_used_for_train_clip_stats,heldout_or_newtest_labels_used_for_image_ambiguity
5,cycle44_subj05_margin_low_1sess_150ep,20,3856,0.036445875,0.04482573,967,-0.008379854,5.0,0.4285714285714285,1.7142857142857142,2.0,-0.0009255484,0.0012348108,-0.0021603592,-1.0,0.1428571428571428,0,0,5.0,3.0,-2.0,0.82623965,3.71933e-05,0.80941427,1.7337316,0.86063564,0.8410428,12.756526,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38376382,1.3499678,0.6302493,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,21,3913,0.056560587,0.051766653,967,0.0047939345,1.0,1.0,1.0,1.0,0.0021851063,0.0004858151,0.0016992912,0.0,0.0,0,0,1.0,2.0,1.0,0.90943563,0.05046606,0.8355821,1.7372619,0.8436445,0.84009176,12.759223,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38454524,1.3527167,0.6506249,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,22,3951,0.046636794,0.05056367,793,-0.003926877,2.0,0.7777777777777778,1.2222222222222223,1.0,-0.00091029704,-0.0005142577,-0.00039603934,0.0,0.0,0,0,1.0,1.0,0.0,0.84909666,0.02054882,0.80377877,1.7465085,0.7782947,0.8429712,12.801927,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.386592,1.3599166,0.6258613,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,23,4051,0.038251843,0.052027613,64,-0.01377577,27.0,0.0,8.25,8.0,0.007759653,0.0030168071,0.004742846,-31.0,0.0,0,0,19.0,9.0,-10.0,0.8421768,0.019399703,0.81285334,1.7325795,0.8351046,0.8395316,12.801092,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.3835088,1.3490707,0.6329272,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,24,4058,0.050680906,0.059251312,493,-0.008570407,2.0,0.4,1.6,2.0,-0.0002603829,0.00626852,-0.006528903,0.0,0.0,0,0,1.0,1.0,0.0,0.9074328,0.008249223,0.89555615,1.7362237,0.83254534,0.83961236,12.851359,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38431543,1.3519083,0.6973236,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,25,4129,0.048849236,0.05245572,442,-0.0036064833,3.0,0.5,1.6666666666666667,1.5,0.003594622,0.002539944,0.0010546781,-1.0,0.0833333333333333,0,0,1.0,1.0,0.0,0.86037016,0.043838084,0.79305214,1.7419299,0.8389443,0.8409827,12.827748,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.3855785,1.3563514,0.617509,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,26,4156,0.057162825,0.05568628,680,0.0014765449,1.0,1.0,1.0,1.0,0.0056315027,0.0026635826,0.0029679202,-1.0,0.3,0,1,1.0,1.0,0.0,0.8379925,0.010843396,0.79873294,1.7334998,0.83219844,0.83875906,12.73596,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.3837125,1.3497872,0.6219323,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,27,4249,0.059569646,0.04621749,814,0.013352156,1.0,1.0,1.0,1.0,0.0015712865,-0.0012884401,0.0028597265,0.0,0.0,0,0,1.0,1.0,0.0,0.7487372,0.0345037,0.7004443,1.7549628,0.71208096,0.8465513,12.832561,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38846338,1.3664994,0.5454,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,28,4325,0.06420587,0.05583315,590,0.00837272,1.0,1.0,1.0,1.0,0.0044994317,0.006202098,-0.0017026663,0.0,0.0,0,0,1.0,1.0,0.0,0.76950735,0.014103889,0.74615157,1.7449496,0.78807455,0.8415832,12.84532,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38624692,1.3587027,0.58098996,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,29,4423,0.03713141,0.052066974,225,-0.014935564,41.0,0.0,12.4,13.5,-0.00079481676,0.0023745522,-0.003169369,22.0,0.0,0,0,8.0,7.0,-1.0,0.82801,0.0019279122,0.81087935,1.7313714,0.84429586,0.8394286,12.794822,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.3832414,1.3481301,0.63139015,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,30,4436,0.04193067,0.05112509,853,-0.009194419,6.0,0.1428571428571428,2.4285714285714284,2.0,-0.0014738366,4.227832e-05,-0.0015161149,-1.0,0.1428571428571428,0,0,1.0,1.0,0.0,0.80577576,0.027461708,0.7735225,1.7339499,0.7986408,0.84073436,12.683275,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38381213,1.3501378,0.60230225,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,31,4612,0.047930907,0.046063256,29,0.0018676519,1.0,1.0,1.0,1.0,0.0037362725,-0.0025806352,0.0063169077,-2.0,0.5,0,1,1.0,1.0,0.0,0.9052657,0.00070238113,0.88311493,1.7302126,0.89335895,0.8388923,12.763896,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38298488,1.3472277,0.68763626,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,32,4667,0.042326394,0.03977659,940,0.0025498047,1.0,1.0,1.0,1.0,0.002768658,0.0020851083,0.0006835498,0.0,0.0,0,0,4.0,2.0,-2.0,0.8823283,0.028023422,0.84782773,1.7254766,0.8640124,0.837414,12.711521,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38193655,1.3435401,0.66015995,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,33,4690,0.032712083,0.047629215,172,-0.0149171315,17.0,0.0,6.2727272727272725,6.0,-0.005714737,0.0035276003,-0.009242337,13.0,-0.3636363636363636,0,0,1.0,1.0,0.0,0.90824664,0.009206831,0.88092697,1.7274606,0.85994035,0.8379217,12.782182,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38237572,1.3450849,0.68593264,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,34,4768,0.032737523,0.043993507,914,-0.011255983,37.0,0.0,12.77777777777778,13.0,0.0033239461,0.0022667684,0.0010571778,7.0,0.0,0,0,1.0,1.0,0.0,0.8147097,0.031971335,0.7718123,1.7428682,0.8413905,0.84170544,12.823212,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.3857862,1.357082,0.6009706,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,35,4786,0.026142122,0.045078196,191,-0.018936073,12.0,0.1,3.2,3.0,-0.00054504536,0.0037334822,-0.0042785276,3.0,0.0,0,0,31.0,53.0,22.0,0.86265606,0.011805117,0.835008,1.7396959,0.86779404,0.840901,12.783253,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38508403,1.3546119,0.6501779,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,36,4835,0.047403794,0.047528055,400,-0.00012426078,2.0,0.8333333333333334,1.1666666666666667,1.0,0.0040523186,-0.00028765574,0.0043399744,-1.0,0.4166666666666667,0,0,7.0,6.0,-1.0,0.7943084,0.0005789399,0.78586763,1.7494633,0.79829884,0.84396374,12.768231,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38724604,1.3622173,0.6119148,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,37,4869,0.046979703,0.048078414,582,-0.001098711,2.0,0.6666666666666666,1.3333333333333333,1.0,-0.004213795,-0.0038702078,-0.00034358725,0.0,0.0,0,0,1.0,2.0,1.0,0.88950133,0.0032560825,0.8358016,1.7315083,0.8382306,0.8384605,12.737502,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38327166,1.3482366,0.6507958,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,38,4892,0.04820853,0.051984802,876,-0.003776271,4.0,0.625,1.5,1.0,0.009525858,-0.0040960237,0.013621882,-7.0,0.5,0,0,1.0,1.0,0.0,0.9098897,0.03205681,0.8495243,1.7339909,0.820434,0.84020483,12.77205,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38382122,1.3501698,0.66148096,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,39,4930,0.06935601,0.04466984,493,0.024686169,1.0,1.0,1.0,1.0,-0.0026690066,0.0030694418,-0.0057384484,0.0,0.0,0,0,1.0,1.0,0.0,0.7869944,0.01318717,0.7600672,1.7413653,0.7780926,0.84171116,12.8439455,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38545355,1.3559119,0.59182537,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,40,5034,0.042682927,0.047129355,686,-0.0044464283,3.0,0.5,1.6,1.5,0.003484685,0.007250637,-0.0037659518,1.0,0.0999999999999999,0,0,1.0,2.0,1.0,0.8989371,0.07673484,0.80979013,1.7340925,0.7715006,0.83959806,12.844727,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.3838437,1.3502488,0.63054204,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,41,5106,0.042697307,0.048079874,674,-0.0053825676,9.0,0.0,3.5,3.5,0.007317364,0.0028658733,0.004451491,1.0,-0.1666666666666666,0,0,5.0,2.0,-3.0,0.9241823,8.571148e-05,0.9108041,1.7361077,0.8555974,0.8394962,12.792199,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38428977,1.351818,0.7091964,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,42,5204,0.02901667,0.04468529,990,-0.01566862,64.0,0.0,18.857142857142858,19.0,-0.001972301,0.0015960522,-0.0035683531,47.0,0.0,0,0,21.0,17.0,-4.0,0.8311347,0.019951165,0.7909855,1.7468755,0.791788,0.84150475,12.837615,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38667324,1.3602023,0.6158998,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,43,5285,0.04779055,0.0461637,761,0.0016268492,1.0,1.0,1.0,1.0,0.004334878,0.0005156398,0.0038192384,-1.0,0.1666666666666666,0,1,7.0,4.0,-3.0,0.8459353,0.04288268,0.79449433,1.7380946,0.8077709,0.84064204,12.842725,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38472956,1.3533651,0.61863196,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,44,5301,0.035218436,0.026401242,864,0.008817194,1.0,1.0,1.0,1.0,-0.0017425269,-5.2653253e-05,-0.0016898736,0.0,0.0,0,0,2.0,2.0,0.0,0.79906356,0.018182278,0.7639228,1.7451146,0.78947854,0.84228617,12.809198,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38628346,1.3588312,0.5948275,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,45,5338,0.04380224,0.04705155,239,-0.00324931,2.0,0.6666666666666666,1.3333333333333333,1.0,0.0046301372,-0.0018657409,0.006495878,0.0,0.0,0,0,1.0,1.0,0.0,0.82683676,0.011874735,0.79421484,1.7299861,0.7862663,0.8377979,12.8267,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38293475,1.3470514,0.61841434,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,46,5427,0.062143367,0.05491695,830,0.007226415,1.0,1.0,1.0,1.0,-0.0005364679,0.0006115027,-0.0011479706,0.0,0.0,0,0,1.0,1.0,0.0,0.86502886,0.040822744,0.78518444,1.7402632,0.775901,0.84054255,12.768009,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.3852096,1.3550537,0.61138284,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,47,5459,0.037784453,0.03917006,885,-0.0013856068,3.0,0.5,1.75,1.5,5.767867e-05,0.0032659397,-0.003208261,2.0,-0.5,1,0,1.0,3.0,2.0,0.76735586,0.004559934,0.7484306,1.742468,0.78242725,0.84253,12.788429,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38569763,1.3567704,0.5827645,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,48,5502,0.05968072,0.053548664,246,0.006132055,1.0,1.0,1.0,1.0,0.0048115887,0.0028700754,0.0019415133,0.0,0.0,0,0,1.0,1.0,0.0,0.8021163,0.0022329688,0.79308385,1.7509423,0.8014786,0.8438511,12.802963,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38757345,1.363369,0.6175337,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,49,5542,0.051297028,0.049395133,162,0.0019018948,1.0,1.0,1.0,1.0,0.007609401,0.009639341,-0.0020299405,0.0,0.0,0,0,1.0,1.0,0.0,0.85876954,0.010525346,0.83373183,1.7358481,0.83273166,0.8406265,12.89545,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38423228,1.3516158,0.64918417,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,50,5574,0.038181305,0.04075735,468,-0.0025760457,3.0,0.5,1.5,1.5,0.0015356317,0.004677467,-0.0031418353,2.0,-0.5,1,0,6.0,5.0,-1.0,0.8822309,0.04485041,0.7633821,1.7464086,0.79610795,0.8438543,12.852341,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.3865699,1.3598387,0.5944064,False,False,False
