eval_index,nsd_image_id,predclip_image_rank_neighbor0,predclip_image_rank_neighbor_low,predclip_image_rank_delta_low_minus_zero,predclip_brain_rank_neighbor0,predclip_brain_rank_neighbor_low,predclip_brain_rank_delta_low_minus_zero,predclip_image_score_delta_low_minus_zero,predclip_brain_score_delta_low_minus_zero,blurry_pixcorr_neighbor0,blurry_pixcorr_neighbor_low,blurry_pixcorr_delta_low_minus_zero,recons_pixcorr_neighbor0,recons_pixcorr_neighbor_low,recons_pixcorr_delta_low_minus_zero,enhanced_pixcorr_neighbor0,enhanced_pixcorr_neighbor_low,enhanced_pixcorr_delta_low_minus_zero,enhanced_evalmix_pixcorr_neighbor0,enhanced_evalmix_pixcorr_neighbor_low,enhanced_evalmix_pixcorr_delta_low_minus_zero
139,11796,8.0,19.0,11.0,7.0,5.0,-2.0,-0.002899561,-0.002899561,0.48501888,0.43745756,-0.047561318,0.07412165,0.22127816,0.1471565,0.088188216,0.22264673,0.13445851,0.15210737,0.2937422,0.14163484
140,11827,32.0,21.0,-11.0,24.0,15.0,-9.0,0.0012824945,0.0012824945,0.38332844,0.39638513,0.013056695,0.030042628,0.07696738,0.046924755,0.035814393,0.06325599,0.027441595,0.081700645,0.10803516,0.026334517
141,11837,1.0,1.0,0.0,1.0,1.0,0.0,-0.0015625246,-0.0015625246,0.37308335,0.39415118,0.021067828,0.36507842,0.3074007,-0.057677716,0.3523975,0.2830959,-0.069301605,0.37306324,0.3217124,-0.051350832
142,11844,1.0,1.0,0.0,1.0,1.0,0.0,-0.007913809,-0.007913809,0.29024872,0.25727046,-0.032978266,-0.051621675,0.10372582,0.1553475,-0.07461795,0.05386811,0.12848607,-0.011095116,0.13289341,0.14398853
143,11932,9.0,14.0,5.0,14.0,8.0,-6.0,-0.00059321895,-0.00059321895,0.05908204,0.084770456,0.025688417,0.026932694,0.038552754,0.01162006,0.018035682,0.038954373,0.020918692,0.021528836,0.044315558,0.022786722
144,11942,5.0,14.0,9.0,4.0,3.0,-1.0,-0.0027464181,-0.0027464181,-0.056288596,-0.07571565,-0.019427057,-0.11061916,0.06093685,0.17155601,-0.10852909,0.06196708,0.17049617,-0.10929242,0.04983082,0.15912324
145,11952,163.0,277.0,114.0,40.0,67.0,27.0,-0.007323064,-0.007323064,-0.30179703,-0.21630622,0.08549081,-0.3611294,-0.38626835,-0.025138944,-0.3783664,-0.3944526,-0.016086191,-0.38457626,-0.39263842,-0.008062154
146,12065,1.0,1.0,0.0,1.0,1.0,0.0,-0.006248057,-0.006248057,0.31601655,0.21421938,-0.10179718,0.31823543,-0.03193518,-0.3501706,0.31266457,-0.04529864,-0.3579632,0.33236983,-0.020037709,-0.35240754
147,12075,30.0,30.0,0.0,18.0,28.0,10.0,0.0021661613,0.0021661613,0.31064343,0.17595527,-0.13468817,0.4016269,0.43644208,0.034815162,0.4089959,0.44038638,0.03139049,0.42749196,0.4371666,0.0096746385
148,12214,1.0,1.0,0.0,1.0,1.0,0.0,-0.003985293,-0.003985293,0.23857522,0.44240874,0.20383352,0.29021466,0.22235297,-0.06786169,0.27798763,0.23984486,-0.03814277,0.29583922,0.27311122,-0.022727996
